ID,x,y
1,241,4348
2,334,4375
3,415,3124
4,438,3156
5,445,3261
6,451,2567
7,452,2955
8,461,3070
9,462,2289
10,466,3167
11,468,3347
12,495,3124
13,501,2172
14,501,3053
15,502,2520
16,536,3017
17,568,3069
18,584,3180
19,594,2325
20,599,2935
21,602,3222
22,604,2251
23,605,2284
24,611,3274
25,621,2753
26,628,2983
27,660,2261
28,665,3001
29,674,2079
30,675,2125
31,675,3086
32,687,1935
33,687,2340
34,695,2710
35,695,2964
36,701,2749
37,703,3598
38,708,3081
39,714,2506
40,722,2130
41,725,2378
42,737,3562
43,745,2724
44,746,2600
45,747,2216
46,747,3501
47,764,3126
48,768,2682
49,771,52
50,773,2612
51,782,2482
52,791,2753
53,797,2374
54,799,3218
55,803,2253
56,803,2643
57,812,2086
58,816,2563
59,817,3106
60,837,3255
61,841,3137
62,844,3347
63,847,44
64,866,2621
65,869,3579
66,871,3427
67,873,3220
68,899,3566
69,911,1957
70,922,3543
71,947,3417
72,951,167
73,952,3044
74,954,2542
75,956,94
76,967,2445
77,968,3626
78,988,2941
79,989,2882
80,990,2772
81,1004,3199
82,1010,405
83,1021,84
84,1023,2976
85,1036,2088
86,1036,3248
87,1038,2523
88,1040,3101
89,1043,3088
90,1047,2889
91,1051,314
92,1052,3273
93,1072,2952
94,1073,2388
95,1076,2592
96,1080,2833
97,1089,3202
98,1103,2818
99,1132,3140
100,1141,2863
101,1141,3177
102,1149,2203
103,1149,2622
104,1195,697
105,1251,641
106,1255,83
107,1278,385
108,1287,138
109,1292,155
110,1341,2890
111,1353,157
112,1355,213
113,1366,52
114,1391,756
115,1492,861
116,1540,195
117,1564,42
118,1570,212
119,1579,421
120,1597,259
121,1631,228
122,1631,6315
123,1633,794
124,1636,207
125,1643,33
126,1666,341
127,1667,235
128,1694,151
129,1695,12
130,1697,87
131,1700,291
132,1700,554
133,1701,3733
134,1730,3181
135,1736,366
136,1756,3673
137,1760,426
138,1768,412
139,1777,104
140,1779,754
141,1782,4023
142,1793,3718
143,1818,654
144,1818,3808
145,1836,591
146,1843,222
147,1846,6198
148,1859,11
149,1871,810
150,1874,732
151,1887,430
152,1904,514
153,1922,48
154,1937,3642
155,1948,173
156,1948,5230
157,1955,5002
158,1968,695
159,1969,5141
160,1969,6082
161,1972,2983
162,1982,5299
163,1994,3560
164,1996,325
165,1997,1297
166,1998,2991
167,2001,5365
168,2004,3820
169,2006,3939
170,2007,614
171,2013,224
172,2015,3858
173,2024,229
174,2025,3910
175,2028,5213
176,2040,5262
177,2041,6042
178,2042,561
179,2043,5210
180,2048,6106
181,2050,5481
182,2061,477
183,2066,3930
184,2068,5507
185,2070,158
186,2071,3802
187,2073,541
188,2074,3779
189,2075,6182
190,2078,5753
191,2080,88
192,2080,6299
193,2081,298
194,2087,3409
195,2090,283
196,2096,5407
197,2097,5378
198,2099,91
199,2104,6172
200,2106,6398
201,2109,202
202,2120,3526
203,2121,6283
204,2123,5191
205,2126,5973
206,2130,924
207,2130,5573
208,2132,5736
209,2135,4610
210,2138,5836
211,2140,4727
212,2142,5136
213,2143,361
214,2143,546
215,2145,5987
216,2150,5905
217,2155,5569
218,2156,478
219,2156,1039
220,2162,5202
221,2163,6381
222,2169,722
223,2175,5777
224,2177,4552
225,2189,216
226,2191,30
227,2191,273
228,2200,2841
229,2206,5153
230,2206,6360
231,2214,710
232,2215,719
233,2216,5720
234,2224,240
235,2227,620
236,2231,4667
237,2234,6016
238,2236,4455
239,2237,617
240,2238,3924
241,2241,951
242,2244,4976
243,2247,130
244,2247,266
245,2253,704
246,2254,4396
247,2257,319
248,2262,5574
249,2266,5461
250,2282,1657
251,2283,105
252,2285,156
253,2285,6164
254,2287,4743
255,2292,4688
256,2293,225
257,2293,6277
258,2295,1166
259,2300,6419
260,2302,4425
261,2306,5462
262,2308,4040
263,2309,621
264,2308,4200
265,2310,50
266,2311,526
267,2316,1183
268,2316,6056
269,2319,4380
270,2321,202
271,2331,6080
272,2335,6476
273,2336,924
274,2336,5995
275,2339,729
276,2341,6132
277,2343,3998
278,2348,4413
279,2350,4445
280,2350,5511
281,2353,5903
282,2355,6146
283,2357,6112
284,2365,4412
285,2370,778
286,2370,6388
287,2372,4141
288,2376,4078
289,2376,6080
290,2379,5217
291,2381,551
292,2382,786
293,2383,6098
294,2384,943
295,2385,226
296,2388,696
297,2391,4880
298,2396,1099
299,2400,52
300,2406,584
301,2411,4298
302,2411,5645
303,2416,6241
304,2419,5095
305,2426,1049
306,2427,4779
307,2428,6188
308,2431,1207
309,2432,6446
310,2439,6208
311,2440,947
312,2446,3771
313,2451,4092
314,2456,20
315,2459,5615
316,2464,4204
317,2465,1167
318,2467,6212
319,2472,6284
320,2473,4517
321,2473,5223
322,2476,5185
323,2477,4596
324,2479,5408
325,2480,768
326,2481,338
327,2485,6386
328,2487,4696
329,2490,5867
330,2497,5264
331,2505,4546
332,2505,6349
333,2506,713
334,2506,5804
335,2508,611
336,2513,68
337,2513,4420
338,2516,4196
339,2518,1554
340,2519,5030
341,2521,5214
342,2522,841
343,2525,447
344,2525,3345
345,2531,6289
346,2534,733
347,2552,5781
348,2556,84
349,2557,6191
350,2559,4176
351,2564,4736
352,2570,5295
353,2573,5627
354,2575,823
355,2576,879
356,2577,4498
357,2578,6075
358,2580,322
359,2580,5861
360,2581,5705
361,2584,4070
362,2585,4133
363,2587,977
364,2590,4836
365,2592,4798
366,2594,5853
367,2594,6429
368,2597,5196
369,2598,4123
370,2598,6155
371,2599,4747
372,2601,5252
373,2605,5141
374,2606,4871
375,2607,1823
376,2610,55
377,2613,4398
378,2619,6369
379,2620,5380
380,2622,1199
381,2626,4776
382,2628,6002
383,2629,5565
384,2631,5160
385,2633,76
386,2634,411
387,2636,6144
388,2644,268
389,2645,5203
390,2648,5958
391,2651,256
392,2658,6260
393,2659,438
394,2659,3987
395,2659,5549
396,2661,6076
397,2668,936
398,2675,6298
399,2680,5030
400,2680,6416
401,2682,4988
402,2684,4685
403,2683,6168
404,2689,4292
405,2705,5756
406,2708,203
407,2709,4889
408,2713,6384
409,2714,2632
410,2722,748
411,2723,1449
412,2728,5713
413,2729,4451
414,2730,6031
415,2731,618
416,2731,4394
417,2732,366
418,2733,755
419,2734,4820
420,2738,416
421,2742,608
422,2742,628
423,2744,5893
424,2750,509
425,2751,947
426,2751,1214
427,2757,5795
428,2759,6266
429,2762,5810
430,2762,6115
431,2767,253
432,2779,4579
433,2785,5337
434,2786,5001
435,2791,6145
436,2795,724
437,2799,952
438,2801,413
439,2802,2773
440,2807,1070
441,2807,4347
442,2808,5955
443,2809,286
444,2809,5736
445,2816,978
446,2816,1566
447,2818,884
448,2820,1182
449,2825,5711
450,2826,4673
451,2828,1904
452,2835,326
453,2837,1715
454,2837,5519
455,2847,295
456,2857,4654
457,2862,4872
458,2864,5105
459,2866,5278
460,2867,5837
461,2878,6033
462,2884,6257
463,2887,2995
464,2889,2310
465,2894,4640
466,2898,1614
467,2898,5784
468,2902,5858
469,2905,5357
470,2905,5874
471,2914,6173
472,2915,2709
473,2915,5098
474,2918,1565
475,2918,5906
476,2923,256
477,2924,858
478,2925,2787
479,2926,902
480,2931,4992
481,2932,163
482,2934,1080
483,2935,332
484,2939,5749
485,2940,6037
486,2943,495
487,2944,923
488,2946,22
489,2946,6073
490,2950,1147
491,2957,1526
492,2957,5660
493,2960,1660
494,2960,1803
495,2962,461
496,2963,5318
497,2965,775
498,2967,1771
499,2967,2539
500,2968,4610
501,2970,742
502,2970,4526
503,2979,5424
504,2979,6004
505,2986,1560
506,2986,4491
507,2987,5356
508,2994,4737
509,2996,280
510,2998,2525
511,3000,382
512,3002,5781
513,3006,4585
514,3010,5602
515,3012,6069
516,3014,4868
517,3016,5968
518,3018,5738
519,3029,679
520,3040,2626
521,3042,2542
522,3048,675
