ID,x,y
2065,4510,3251
2066,19,6396
2067,20,6249
2068,33,1353
2069,36,5040
2070,49,5676
2071,69,561
2072,85,3262
2073,88,5756
2074,95,6370
2075,103,5997
2076,110,1878
2077,144,5114
2078,152,6104
2079,188,4737
2080,199,300
2081,221,40
2082,236,150
2083,242,5876
2084,251,6159
2085,275,4834
2086,292,485
2087,303,6436
2088,313,5158
2089,328,690
2090,366,4448
2091,384,5206
2092,409,4146
2093,421,5837
2094,422,5858
2095,425,3573
2096,440,5444
2097,442,4604
2098,443,801
2099,447,3584
2100,485,935
2101,489,815
2102,504,5171
2103,515,1261
2104,518,2470
2105,528,6188
2106,532,5612
2107,541,3733
2108,549,4284
2109,560,4096
2110,568,6302
2111,578,335
2112,584,919
2113,606,3784
2114,616,4013
2115,620,3433
2116,630,5043
2117,630,5947
2118,637,4194
2119,669,1020
2120,671,5637
2121,675,5458
2122,686,5734
2123,705,4044
2124,712,2359
2125,715,5133
2126,718,3670
2127,738,3067
2128,746,956
2129,748,1567
2130,769,4652
2131,775,1779
2132,779,681
2133,788,1336
2134,791,1170
2135,800,700
2136,809,4340
2137,810,5957
2138,811,136
2139,816,3770
2140,819,6485
2141,844,4995
2142,858,540
2143,861,1669
2144,872,1079
2145,875,163
2146,887,3002
2147,889,286
2148,892,1383
2149,893,6041
2150,896,739
2151,897,757
2152,914,1275
2153,922,1934
2154,923,5432
2155,939,1332
2156,956,1589
2157,959,5910
2158,976,3676
2159,977,2925
2160,986,5895
2161,995,6015
2162,996,1411
2163,1021,4635
2164,1026,3631
2165,1071,3984
2166,1086,6381
2167,1089,3060
2168,1091,1679
2169,1105,4156
2170,1106,203
2171,1106,3793
2172,1126,2110
2173,1133,1445
2174,1134,6106
2175,1164,1828
2176,1169,5574
2177,1175,3338
2178,1176,2164
2179,1180,4019
2180,1187,1062
2181,1197,3933
2182,1207,2840
2183,1213,4852
2184,1224,4835
2185,1225,478
2186,1234,2217
2187,1249,3059
2188,1251,4823
2189,1289,910
2190,1303,4830
2191,1304,1825
2192,1304,2161
2193,1307,3948
2194,1310,600
2195,1313,498
2196,1315,1654
2197,1329,4050
2198,1335,2597
2199,1342,3
2200,1348,4413
2201,1350,690
2202,1359,1287
2203,1369,6432
2204,1392,2843
2205,1408,1293
2206,1424,158
2207,1431,6214
2208,1438,1890
2209,1450,4196
2210,1451,4925
2211,1452,719
2212,1470,1155
2213,1474,1361
2214,1481,1372
2215,1489,2118
2216,1494,4827
2217,1519,1442
2218,1527,2468
2219,1527,4529
2220,1535,6392
2221,1551,1742
2222,1578,715
2223,1589,4975
2224,1589,5766
2225,1595,2185
2226,1596,1074
2227,1600,2387
2228,1602,1802
2229,1614,1910
2230,1622,1167
2231,1633,1666
2232,1636,340
2233,1637,2335
2234,1639,1637
2235,1640,1853
2236,1642,5589
2237,1650,2651
2238,1653,5331
2239,1662,5952
2240,1680,3549
2241,1685,1033
2242,1688,1563
2243,1695,3525
2244,1695,5659
2245,1695,6348
2246,1697,1540
2247,1723,5232
2248,1726,5811
2249,1730,5728
2250,1734,5579
2251,1744,3201
2252,1774,6271
2253,1780,2021
2254,1781,2136
2255,1785,5933
2256,1786,6395
2257,1794,5654
2258,1798,6315
2259,1820,870
2260,1823,2432
2261,1826,6467
2262,1837,5278
2263,1839,5333
2264,1845,1164
2265,1855,5694
2266,1863,1181
2267,1876,4807
2268,1878,2503
2269,1883,3245
2270,1925,232
2271,1926,3964
2272,1932,5501
2273,1936,3199
2274,1939,2570
2275,1944,2288
2276,1964,2433
2277,1970,3759
2278,1987,1708
2279,1989,861
2280,1989,2052
2281,1999,566
2282,2020,4600
2283,2030,1267
2284,2041,3108
2285,2042,4488
2286,2057,3042
2287,2073,851
2288,2077,2
2289,2083,2272
2290,2084,4154
2291,2097,1753
2292,2100,2273
2293,2107,3214
2294,2115,1806
2295,2116,4022
2296,2118,3642
2297,2126,2141
2298,2128,4213
2299,2138,663
2300,2142,1745
2301,2162,3793
2302,2182,5956
2303,2190,132
2304,2198,2882
2305,2208,6123
2306,2218,5862
2307,2222,787
2308,2231,321
2309,2233,4883
2310,2243,1029
2311,2244,6428
2312,2248,74
2313,2248,1783
2314,2256,1137
2315,2260,3309
2316,2262,4082
2317,2274,3802
2318,2277,5791
2319,2283,2600
2320,2283,3441
2321,2303,2842
2322,2332,1951
2323,2351,1993
2324,2356,1123
2325,2357,1680
2326,2366,1515
2327,2366,5100
2328,2380,3470
2329,2382,5797
2330,2386,865
2331,2387,5398
2332,2398,3800
2333,2399,3595
2334,2399,5267
2335,2406,1259
2336,2411,2377
2337,2416,1860
2338,2426,4185
2339,2437,1371
2340,2446,5149
2341,2452,4975
2342,2473,470
2343,2492,264
2344,2495,1564
2345,2505,259
2346,2534,1761
2347,2541,3030
2348,2545,1470
2349,2559,3971
2350,2575,6096
2351,2589,453
2352,2605,578
2353,2609,5085
2354,2643,2514
2355,2644,1005
2356,2644,3883
2357,2649,1075
2358,2651,1967
2359,2660,3764
2360,2663,3875
2361,2672,300
2362,2685,1813
2363,2696,4616
2364,2709,6126
2365,2744,1733
2366,2751,191
2367,2760,1021
2368,2762,2303
2369,2768,6441
2370,2771,4020
2371,2774,1530
2372,2777,3692
2373,2778,2226
2374,2784,1961
2375,2785,1283
2376,2790,4039
2377,2795,2068
2378,2798,1148
2379,2810,1356
2380,2813,1802
2381,2826,2807
2382,2827,5615
2383,2838,2629
2384,2839,6051
2385,2842,5897
2386,2847,3562
2387,2861,1637
2388,2862,3307
2389,2867,6422
2390,2880,2068
2391,2890,498
2392,2899,2167
2393,2907,880
2394,2910,2020
2395,2912,397
2396,2914,4171
2397,2919,3635
2398,2920,1503
2399,2920,3266
2400,2952,2013
2401,2955,2371
2402,2958,2999
2403,2961,4424
2404,2972,3718
2405,2972,4801
2406,2977,2712
2407,2977,4106
2408,2979,1594
2409,2984,2458
2410,2984,5684
2411,2989,3874
2412,2990,3389
2413,2994,1411
2414,3009,5500
2415,3009,5886
2416,3018,1910
2417,3019,1707
2418,3021,4462
2419,3025,1487
2420,3040,1870
2421,3047,410
2422,3047,4342
2423,3047,5179
2424,3049,6326
2425,3056,1985
2426,3058,1562
2427,3059,5112
2428,3061,1436
2429,3063,4156
2430,3064,2315
2431,3066,3050
2432,3071,6281
2433,3088,2217
2434,3104,259
2435,3107,5714
2436,3108,6057
2437,3110,2167
2438,3112,1387
2439,3121,855
2440,3123,38
2441,3127,4496
2442,3138,1543
2443,3148,5885
2444,3152,6395
2445,3153,5166
2446,3155,3060
2447,3155,4718
2448,3156,1483
2449,3177,3084
2450,3179,1962
2451,3180,615
2452,3180,710
2453,3182,553
2454,3186,4622
2455,3191,5034
2456,3197,3230
2457,3202,1651
2458,3205,1641
2459,3213,1014
2460,3218,3193
2461,3239,5373
2462,3246,131
2463,3261,2181
2464,3269,1181
2465,3274,202
2466,3304,1815
2467,3308,3566
2468,3315,1365
2469,3322,1299
2470,3340,1141
2471,3342,5187
2472,3350,5066
2473,3351,334
2474,3357,1928
2475,3360,1209
2476,3367,4127
2477,3372,1441
2478,3389,4660
2479,3399,1063
2480,3399,4831
2481,3401,6448
2482,3402,2145
2483,3424,1516
2484,3439,2013
2485,3465,982
2486,3469,3324
2487,3485,412
2488,3506,1984
2489,3510,242
2490,3511,5483
2491,3512,2097
2492,3537,843
2493,3538,618
2494,3540,4424
2495,3541,2117
2496,3548,2524
2497,3552,4691
2498,3576,699
2499,3588,232
2500,3588,1937
2501,3589,4698
2502,3590,5413
2503,3591,464
2504,3593,3006
2505,3597,3648
2506,3598,2099
2507,3599,5588
2508,3602,222
2509,3602,979
2510,3602,1095
2511,3604,6258
2512,3624,2517
2513,3628,4231
2514,3630,3155
2515,3632,2151
2516,3633,3621
2517,3637,4614
2518,3647,2022
2519,3660,2211
2520,3660,5696
2521,3665,4768
2522,3675,1987
2523,3687,4541
2524,3691,926
2525,3697,2017
2526,3701,4412
2527,3703,3450
2528,3710,6358
2529,3711,499
2530,3713,3746
2531,3718,2903
2532,3722,280
2533,3724,3530
2534,3733,5404
2535,3734,1422
2536,3738,2118
2537,3748,338
